Time,Altitude
15:39:36,218
15:39:42,228
15:39:48,237
15:39:54,216
15:40:00,214
15:40:06,214
15:40:12,215
15:40:18,215
15:40:24,215
15:40:30,215
15:40:36,215
15:40:42,217
15:40:48,218
15:40:54,218
15:41:00,218
15:41:06,218
15:41:12,218
15:41:18,218
15:41:24,218
15:41:30,217
15:41:36,218
15:41:42,218
15:41:48,218
15:41:54,218
15:42:00,218
15:42:06,218
15:42:12,218
15:42:18,218
15:42:24,218
15:42:30,218
15:42:36,217
15:42:42,217
15:42:48,217
15:42:54,217
15:43:00,217
15:43:06,217
15:43:12,217
15:43:18,217
15:43:24,217
15:43:30,217
15:43:36,217
15:43:42,218
15:43:48,218
15:43:54,218
15:44:00,218
15:44:06,218
15:44:12,218
15:44:18,218
15:44:24,218
15:44:30,218
15:44:36,219
15:44:42,219
15:44:48,219
15:44:54,219
15:45:00,219
15:45:06,219
15:45:12,219
15:45:18,219
15:45:24,221
15:45:30,221
15:45:36,221
15:45:42,221
15:45:48,222
15:45:54,222
15:46:00,222
15:46:06,222
15:46:12,222
15:46:18,222
15:46:24,222
15:46:30,222
15:46:36,222
15:46:42,222
15:46:48,222
15:46:54,222
15:47:00,222
15:47:06,222
15:47:12,222
15:47:18,222
15:47:24,222
15:47:30,222
15:47:36,223
15:47:42,223
15:47:48,223
15:47:54,223
15:48:00,223
15:48:06,223
15:48:12,223
15:48:18,223
15:48:24,223
15:48:30,223
15:48:36,223
15:48:42,222
15:48:48,222
15:48:54,222
15:49:00,222
15:49:06,222
15:49:12,222
15:49:18,222
15:49:24,222
15:49:30,222
15:49:36,222
15:49:42,222
15:49:48,222
15:49:54,222
15:50:00,222
15:50:06,222
15:50:12,222
15:50:18,222
15:50:24,222
15:50:30,222
15:50:36,222
15:50:42,222
15:50:48,222
15:50:54,222
15:51:00,222
15:51:06,222
15:51:12,222
15:51:18,221
15:51:24,221
15:51:30,221
15:51:36,221
15:51:42,222
15:51:48,222
15:51:54,222
15:52:00,222
15:52:06,222
15:52:12,222
15:52:18,222
15:52:24,222
15:52:30,222
15:52:36,222
15:52:42,223
15:52:48,223
15:52:54,223
15:53:00,223
15:53:06,223
15:53:12,222
15:53:18,222
15:53:24,223
15:53:30,223
15:53:36,223
15:53:42,223
15:53:48,222
15:53:54,222
15:54:00,222
15:54:06,222
15:54:12,222
15:54:18,222
15:54:24,222
15:54:30,222
15:54:36,222
15:54:42,222
15:54:48,222
15:54:54,222
15:55:00,222
15:55:06,222
15:55:12,222
15:55:18,222
15:55:24,222
15:55:30,222
15:55:36,222
15:55:42,222
15:55:48,222
15:55:54,222
15:56:00,222
15:56:06,222
15:56:12,222
15:56:18,222
15:56:24,222
15:56:30,222
15:56:36,222
15:56:42,223
15:56:48,223
15:56:54,223
15:57:00,223
15:57:06,223
15:57:12,223
15:57:18,223
15:57:24,223
15:57:30,222
15:57:36,222
15:57:42,222
15:57:48,223
15:57:54,223
15:58:00,223
15:58:06,223
15:58:12,223
15:58:18,223
15:58:24,223
15:58:30,223
15:58:36,223
15:58:42,223
15:58:48,223
15:58:54,223
15:59:00,223
15:59:06,223
15:59:12,223
15:59:18,223
15:59:24,223
15:59:30,223
15:59:36,223
15:59:42,222
15:59:48,222
15:59:54,222
16:00:00,223
16:00:06,223
16:00:12,223
16:00:18,223
16:00:24,223
16:00:30,223
16:00:36,223
16:00:42,223
16:00:48,223
16:00:54,223
16:01:00,223
16:01:06,223
16:01:12,223
16:01:18,223
16:01:24,223
16:01:30,223
16:01:36,223
16:01:42,223
16:01:48,223
16:01:54,223
16:02:00,223
16:02:06,223
16:02:12,223
16:02:18,223
16:02:24,223
16:02:30,223
16:02:36,223
16:02:42,222
16:02:48,222
16:02:54,222
16:03:00,222
16:03:06,222
16:03:12,222
16:03:18,222
16:03:24,222
16:03:30,222
16:03:36,222
16:03:42,222
16:03:48,222
16:03:54,222
16:04:00,222
16:04:06,222
16:04:12,222
16:04:18,222
16:04:24,222
16:04:30,222
16:04:36,222
16:04:42,222
16:04:48,222
16:04:54,222
16:05:00,222
16:05:06,222
16:05:12,222
16:05:18,222
16:05:24,222
16:05:30,222
16:05:36,222
16:05:42,222
16:05:48,222
16:05:54,225
16:06:00,230
16:06:06,235
16:06:12,240
16:06:18,246
16:06:24,251
16:06:30,258
16:06:36,262
16:06:42,264
16:06:48,269
16:06:54,274
16:07:00,278
16:07:06,284
16:07:12,289
16:07:18,294
16:07:24,302
16:07:30,306
16:07:36,309
16:07:42,313
16:07:48,318
16:07:54,323
16:08:00,330
16:08:06,338
16:08:12,346
16:08:18,354
16:08:24,361
16:08:30,370
16:08:36,379
16:08:42,384
16:08:48,389
16:08:54,393
16:09:00,398
16:09:06,403
16:09:12,410
16:09:18,417
16:09:24,427
16:09:30,437
16:09:36,447
16:09:42,459
16:09:48,472
16:09:54,484
16:10:00,496
16:10:06,510
16:10:12,523
16:10:18,536
16:10:24,548
16:10:30,559
16:10:36,570
16:10:42,585
16:10:48,599
16:10:54,612
16:11:00,626
16:11:06,644
16:11:12,665
16:11:18,679
16:11:24,695
16:11:30,710
16:11:36,725
16:11:42,739
16:11:48,755
16:11:54,766
16:12:00,779
16:12:06,790
16:12:12,802
16:12:18,811
16:12:24,821
16:12:30,830
16:12:36,843
16:12:42,853
16:12:48,868
16:12:54,882
16:13:00,898
16:13:06,915
16:13:12,935
16:13:18,951
16:13:24,961
16:13:30,970
16:13:36,979
16:13:42,802
16:13:48,817
16:13:54,833
16:14:00,847
16:14:06,800
16:14:12,811
16:14:18,823
16:14:24,836
16:14:30,843
16:14:36,851
16:14:42,856
16:14:48,861
16:14:54,864
16:15:00,868
16:15:06,873
16:15:12,875
16:15:18,879
16:15:24,880
16:15:30,883
16:15:36,890
16:15:42,896
16:15:48,902
16:15:54,910
16:16:00,915
16:16:06,919
16:16:12,924
16:16:18,927
16:16:24,930
16:16:30,935
16:16:36,939
16:16:42,811
16:16:48,814
16:16:54,818
16:17:00,821
16:17:06,825
16:17:12,830
16:17:18,833
16:17:24,835
16:17:30,774
16:17:36,775
16:17:42,752
16:17:48,651
16:17:54,596
16:18:00,562
16:18:06,537
16:18:12,519
16:18:18,505
16:18:24,494
16:18:30,484
16:18:36,476
16:18:42,470
16:18:48,464
16:18:54,459
16:19:00,455
16:19:06,451
16:19:12,448
16:19:18,446
16:19:24,443
16:19:30,440
16:19:36,439
16:19:42,437
16:19:48,435
16:19:54,434
16:20:00,433
16:20:06,432
16:20:12,432
16:20:18,435
16:20:24,441
16:20:30,447
16:20:36,449
16:20:42,454
16:20:48,449
16:20:54,445
16:21:00,440
16:21:24,438
16:21:30,438
16:21:36,2967
16:21:42,2982
16:21:48,2994
16:21:54,3011
16:22:00,3022
16:22:06,3032
16:22:12,3042
16:22:18,3056
16:22:24,3072
16:22:30,3088
16:22:36,3103
16:22:42,3113
16:22:48,3132
16:22:54,3151
16:23:00,3168
16:23:06,3184
16:23:12,3200
16:23:18,3216
16:23:24,3231
16:23:30,3245
16:23:36,3260
16:23:42,3276
16:23:48,3295
16:23:54,3313
16:24:00,3332
16:24:06,3353
16:24:12,3376
16:24:18,3397
16:24:24,3417
16:24:30,3436
16:24:36,3452
16:24:42,3467
16:24:48,3483
16:24:54,3499
16:25:00,3514
16:25:06,3531
16:25:12,3548
16:25:18,3564
16:25:24,3579
16:25:30,3593
16:25:36,3608
16:25:42,3623
16:25:48,3637
16:25:54,3652
16:26:00,3668
16:26:06,3683
16:26:12,3700
16:26:18,3715
16:26:24,3729
16:26:30,3746
16:26:36,3761
16:26:42,3777
16:26:48,3792
16:26:54,3805
16:27:00,3818
16:27:06,3834
16:27:12,3849
16:27:18,3865
16:27:24,3880
16:27:30,3896
16:27:36,3911
16:27:42,3923
16:27:48,3938
16:27:54,3955
16:28:00,3971
16:28:06,3985
16:28:12,3999
16:28:18,4013
16:28:24,4027
16:28:30,4044
16:28:36,4063
16:28:42,4080
16:28:48,4097
16:28:54,4116
16:29:00,4133
16:29:06,4148
16:29:12,4165
16:29:18,4185
16:29:24,4203
16:29:30,4219
16:29:36,4235
16:29:42,4251
16:29:48,4265
16:29:54,4281
16:30:00,4299
16:30:06,4318
16:30:12,4336
16:30:18,4354
16:30:24,4372
16:30:30,4390
16:30:36,4406
16:30:42,4425
16:30:48,4442
16:30:54,4459
16:31:00,4476
16:31:06,4493
16:31:12,4512
16:31:18,4528
16:31:24,4544
16:31:30,4562
16:31:36,4578
16:31:42,4592
16:31:48,4607
